feedback_id,created_at,channel,account_id,rating,text
FB-00025,2026-01-06 17:15:49,app_store,ACC-0120,4.0,The team availability view is fantastic.
FB-00018,2026-01-06 18:57:11,app_store,ACC-0119,5.0,Dark mode is the only thing missing for me. Thanks!
FB-00022,2026-01-06 19:10:22,support_ticket,ACC-0316,,"Hey there, Can you connect Tempo with Slack for meeting links. - Jonas"
FB-00023,2026-01-06 19:14:26,app_store,ACC-0499,2.0,I cannot turn off the daily digest emails. Very annyoing.
FB-00014,2026-01-06 19:24:14,community,ACC-0441,,Anyone else seeing this? The app hangs for ten seconds before showing my schedule.
FB-00016,2026-01-06 19:43:20,community,ACC-0533,,Feature request: Add a night mode option to the Android app. Thanks!
FB-00024,2026-01-06 20:10:32,nps_survey,ACC-0474,6.0,"We need to export meeting data to CSV. Also, exceptions to recurring eevnts are lost when I save."
FB-00019,2026-01-06 20:47:57,nps_survey,ACC-0590,5.0,"The bright interface is painful at night, we need a dark mode."
FB-00030,2026-01-07 07:15:27,nps_survey,ACC-0267,6.0,"Missing SSO support is a blocker in our procurement review. Also, we need to export meeting data to CSV."
FB-00042,2026-01-07 07:19:49,community,ACC-0558,,Love how easy it is to find a time that works for everyone.
FB-00028,2026-01-07 07:43:10,app_store,ACC-0029,3.0,Please add a dark mode. Would really appreciate it.
FB-00043,2026-01-07 09:19:57,app_store,ACC-0247,5.0,The team availability view is fantastic. Thank you!
FB-00031,2026-01-07 11:08:52,support_ticket,ACC-0387,,"Hello, Paying per seat makes no sense for occasional users. Hope this gets fixed soon. - Kate"
FB-00038,2026-01-07 11:16:44,nps_survey,ACC-0211,4.0,Onboarding is confusing for anyone who is not technical.
FB-00040,2026-01-07 11:32:46,support_ticket,ACC-0437,,"Hello, No guidance during setup, I did not know where to start. Not happy about this. Best, Deniz"
FB-00034,2026-01-07 11:50:50,support_ticket,ACC-0052,,"Please let me mute notifications for sepcific calendars. Please fix this asap. Thanks, Chen"
FB-00026,2026-01-07 11:52:12,support_ticket,ACC-0435,,"Hello, Our team of 80 people relies on Tempo. The sync status is stuck on syncing forever. Please fix this asap. Best, Amara"
FB-00032,2026-01-07 12:20:07,support_ticket,ACC-0438,,"Hi Tempo support, I have been a cutsomer for 18 months. The price increase does not feel justified. Not happy about this."
FB-00036,2026-01-07 15:06:44,nps_survey,ACC-0144,8.0,Export to Excel would save me hours every month.
FB-00037,2026-01-07 16:16:05,app_store,ACC-0215,4.0,please add an api endpoint for exporting events. would really appreciate it.
FB-00035,2026-01-07 17:05:15,nps_survey,ACC-0105,8.0,We need to export meeting data to CSV.
FB-00039,2026-01-07 17:14:35,support_ticket,ACC-0369,,"Hello, Setting up the workspace was confusing. Very annoying. Best, Maria"
FB-00029,2026-01-07 17:37:08,app_store,ACC-0506,4.0,I wuold honestly pay extra for a dark mode.
FB-00041,2026-01-07 17:59:55,support_ticket,ACC-0223,,"Hi team, I have been a customer for 6 months. The setup wizard skipped steps and left my workspace half configured. Not happy about this. - Omar"
FB-00027,2026-01-07 18:00:16,community,ACC-0256,,[Bug] The app hangs for ten seconds before showing my schedule. Please fix this asap.
FB-00033,2026-01-07 18:58:32,support_ticket,ACC-0467,,"Hello, Hard to justify the cost to my manager after the price incerase. Very annoying. Thanks, Lukas"
FB-00052,2026-01-08 09:01:42,app_store,ACC-0257,3.0,Our new hires get lost in the onboarding flow. Hope this gets fixed soon.
FB-00053,2026-01-08 12:44:24,nps_survey,ACC-0596,9.0,Great product and the support team is very responsive.
FB-00049,2026-01-08 13:34:39,nps_survey,ACC-0579,7.0,"The bright interface is painful at night, we need a dark mode."
FB-00048,2026-01-08 14:26:21,app_store,ACC-0195,5.0,Please follow the system dark theme on mobile. Would really appreciate it.
FB-00050,2026-01-08 15:39:54,app_store,ACC-0259,1.0,My time zone setting resets every time I tarvel. This is really frustrating.
FB-00047,2026-01-08 16:03:08,app_store,ACC-0053,3.0,The iOS app takes forever to load. Not happy abuot this.
FB-00045,2026-01-08 16:09:15,app_store,ACC-0248,3.0,Meetings I create in Tempo never make it to Google.
FB-00046,2026-01-08 19:01:51,support_ticket,ACC-0484,,Tempo is central to how we plan our week. Half of my iCloud events disappeared from Tempo. Hope this gets fixed soon.
FB-00051,2026-01-08 19:09:00,community,ACC-0084,,"Small thing, but The onboarding never explains the difference between workspaces and teams. Please fix this asap."
FB-00044,2026-01-08 20:49:42,support_ticket,ACC-0426,,"Hi Tempo support, I have been a customer for 18 months. Reconnecting Office 365 does not fix the sync problem. Thanks, Maria"
FB-00058,2026-01-09 08:08:02,support_ticket,ACC-0042,,"Hey there, We would love to schedule meetings directly from Microsoft Teams. Thanks! Best, Priya"
FB-00055,2026-01-09 08:28:46,community,ACC-0111,,Feature request: Please add a dark mode. Thanks!
FB-00059,2026-01-09 08:36:57,sales_call,ACC-0582,,"Call notes (Rapid Digital 97): their CTO said ""Our finance team needs a monthly utilization report."" Expansion to 40 more seats depends on this."
FB-00054,2026-01-09 08:43:30,support_ticket,ACC-0368,,"It keeps crashing on startup after the last Android update. Hope this gets fixed soon. Best, Omar"
FB-00057,2026-01-09 10:00:14,sales_call,ACC-0017,,"Call notes (Nova Works): the office manager said ""Meeting times are wrong when attendees are in different time zones."" Otherwise very happy with the product."
FB-00061,2026-01-09 11:56:21,sales_call,ACC-0325,,"Call notes (Green Labs 45): the office manager said ""Changing one recurring meeting creates extra copies of the whole series."" Otherwise very happy with the product."
FB-00060,2026-01-09 13:33:12,app_store,ACC-0458,1.0,The first-time setup does not explain how anything works.
FB-00056,2026-01-09 19:58:02,community,ACC-0368,,We are considering switching because Tempo got too pricey. Very annoying.
FB-00064,2026-01-10 11:10:12,support_ticket,ACC-0413,,"It is confusing which time zone the booking link uses. Please fix this asap. Best, Lukas"
FB-00062,2026-01-10 11:52:16,nps_survey,ACC-0050,3.0,The sync sattus is stuck on syncing forever.
FB-00065,2026-01-10 14:41:24,support_ticket,ACC-0332,,"Hi Tempo support, We use Tempo every day. It is confusing which time zone the booking link uses. Best, Chen"
FB-00067,2026-01-10 17:59:57,app_store,ACC-0251,5.0,The team availability view is fantastic.
FB-00063,2026-01-10 20:48:37,app_store,ACC-0118,2.0,It keeps crashing on startup after the last Android update. This is really frustrating.
FB-00066,2026-01-10 21:04:37,support_ticket,ACC-0215,,"Hey there, Please add a Slack integration so reminders show up in our channels. Thanks in advance. Best, Chen"
FB-00070,2026-01-11 09:28:44,app_store,ACC-0352,1.0,Hard to justify the cost to my manager after the price increase. Hope this gets fixed soon.
FB-00068,2026-01-11 10:08:12,community,ACC-0138,,Sync keeps creating duplicate events on my calnedar.
FB-00071,2026-01-11 10:15:39,community,ACC-0248,,Idea: Can we get analytics on meeting load per person. Thanks!
FB-00074,2026-01-11 12:31:35,app_store,ACC-0183,4.0,Love how easy it is to find a time that works for everyone. Keep up the gerat work!
FB-00073,2026-01-11 12:46:50,support_ticket,ACC-0169,,"Hey there, The onboarding never explains the difference between workspaces and teams. - Maria"
FB-00069,2026-01-11 14:51:16,support_ticket,ACC-0512,,"We use Tempo every day. Scrolling the calendar on mobile is laggy and slow. Please fix this asap. Best, Priya"
FB-00072,2026-01-11 20:36:39,support_ticket,ACC-0002,,"Hi Tempo support, Our team of 12 people relies on Tempo. Our finance team needs a monthly utilization report. Also, tapping an event freezes the Android app. Would really appreciate it. Best, Omar"
FB-00085,2026-01-12 07:05:00,support_ticket,ACC-0102,,An integration with Microsoft Teams is the main thing missing for our team. Is this on the roadmap? - Jonas
FB-00081,2026-01-12 07:59:04,nps_survey,ACC-0078,5.0,Hard to justify the cost to my manager after the price increase.
FB-00077,2026-01-12 08:05:10,nps_survey,ACC-0305,5.0,The iOS app is so slow it is unusalbe on older phones.
FB-00084,2026-01-12 10:02:32,nps_survey,ACC-0321,5.0,The scheduler keeps showing UTC instead of my local time.
FB-00078,2026-01-12 10:19:33,community,ACC-0294,,[Bug] Performance on my tablet is terrible compared to the web version. Very annoying.
FB-00082,2026-01-12 10:29:44,app_store,ACC-0004,2.0,It is confusing which time zone the booking link uses. Not happy about this.
FB-00089,2026-01-12 10:48:06,nps_survey,ACC-0461,8.0,The booking links alone are worth it.
FB-00075,2026-01-12 12:28:42,support_ticket,ACC-0321,,"We use Tempo every day. The mobile app drains my battery. Not happy about this. Best, Priya"
FB-00088,2026-01-12 12:29:01,app_store,ACC-0060,5.0,Tempo saves me hours every week. Keep up the great work!
FB-00079,2026-01-12 14:01:31,app_store,ACC-0516,2.0,Scrolling the calendar on Android is laggy and slow. Hope this gets fixed soon.
FB-00090,2026-01-12 14:03:53,nps_survey,ACC-0125,8.0,Best scheduling tool we have used.
FB-00086,2026-01-12 15:59:12,nps_survey,ACC-0028,5.0,Can we get analytics on meeting load per person.
FB-00076,2026-01-12 17:03:05,nps_survey,ACC-0138,5.0,The mobile app drains my battery.
FB-00087,2026-01-12 17:40:51,community,ACC-0140,,"Shoutout: Love how easy it is to find a time that works for everyone. Also, the reminder spam is making people ignore Tempo entirely."
FB-00080,2026-01-12 18:34:55,app_store,ACC-0501,3.0,Dark mode is the only thing missing for me. Is this on the roadmap?
FB-00083,2026-01-12 19:33:03,sales_call,ACC-0557,,"Call notes (Harbor Foods 44): their CTO said ""The scheduler keeps showing GMT instead of my local time."" Otherwise very happy with the product."
FB-00104,2026-01-13 07:39:52,nps_survey,ACC-0523,8.0,Tempo saves me hours every week.
FB-00093,2026-01-13 07:48:37,community,ACC-0091,,[Bug] Performance on my older Android phone is terrible compared to the web version. Please fix this asap.
FB-00092,2026-01-13 10:29:39,support_ticket,ACC-0264,,"Hey there, We use Tempo every day. Performance on my iPhone is terrible compared to the web version. Hope this gets fixed soon. Thanks, Maria"
FB-00101,2026-01-13 11:59:44,support_ticket,ACC-0233,,"Hi Tempo support, Exceptions to recurring events are lost when I save. Hope this gets fixed soon. - Jonas"
FB-00100,2026-01-13 12:47:44,community,ACC-0450,,"[bug] weekly recurring meetings disappear after the third week. also, icloud sync fails with an error every morning. please fix this asap."
FB-00099,2026-01-13 12:58:17,nps_survey,ACC-0385,2.0,Our new hires get lost in the onboarding flow.
FB-00094,2026-01-13 14:14:17,support_ticket,ACC-0434,,"Tempo is central to how we plan our week. The app freezes every time I switch calendars on my iPhone. Please fix this asap. Best, Chen"
FB-00096,2026-01-13 14:34:45,sales_call,ACC-0017,,"Call notes (Nova Works): the head of RevOps said ""Single sign-on with OneLogin is a hard requirement for us."""
FB-00097,2026-01-13 14:48:51,community,ACC-0384,,"Small thing, but Our new hires get lost in the onboarding flow."
FB-00102,2026-01-13 15:10:03,app_store,ACC-0282,5.0,Best scheduling tool we have used. Five stars.
FB-00098,2026-01-13 15:35:01,app_store,ACC-0375,3.0,the setup wizard skipped steps and left my workspace half configured. hope this gets fixed soon.
FB-00091,2026-01-13 16:07:52,support_ticket,ACC-0133,,"Hi team, Tempo is central to how we plan our week. Meetings I create in Tempo never make it to Office 365. Best, Maria"
FB-00095,2026-01-13 18:57:14,app_store,ACC-0448,5.0,Please add a dark mode.
FB-00103,2026-01-13 21:49:47,app_store,ACC-0003,4.0,Great product and the support team is very responsive.
FB-00105,2026-01-14 08:02:56,support_ticket,ACC-0587,,"The sync stauts is stuck on syncing forever. Also, the onboarding never explains the difference between workspaces and teams. Thanks, Lukas"
FB-00122,2026-01-14 09:37:05,nps_survey,ACC-0290,9.0,The team availability view is fantastic.
FB-00114,2026-01-14 10:09:02,sales_call,ACC-0586,,"Call notes (Iron Capital 45): the head of RevOps said ""It is confusing which time zone the booking link uses."" Expansion to 150 more seats depends on this."
FB-00119,2026-01-14 11:30:41,sales_call,ACC-0240,,"Call notes (Harbor Labs 36): the IT director said ""Can you connect Tempo with Slack for meeting links."" Expansion to 40 more seats depends on this."
FB-00120,2026-01-14 11:34:40,support_ticket,ACC-0144,,"Hello, We use Tempo every day. Please add an API endpoint for exporting events."
FB-00118,2026-01-14 11:42:43,community,ACC-0431,,"idea: we live in microsoft teams, getting alerts three would help a lot. thanks!"
FB-00113,2026-01-14 13:17:07,support_ticket,ACC-0489,,"Our team of 25 people relies on Tempo. There is no way to see two time zones side by side when scheduling. This is really frustrating. Best, Sofia"
FB-00121,2026-01-14 14:24:36,sales_call,ACC-0489,,"Call notes (Quiet Labs 3): the security lead said ""The first-time setup does not explain how anything works."""
FB-00124,2026-01-14 14:38:46,nps_survey,ACC-0557,8.0,Love how easy it is to find a time that works for everyone.
FB-00111,2026-01-14 14:52:57,support_ticket,ACC-0208,,"Hi team, We use Tempo every day. Single sign-on with Entra ID is a hard requirement for us. Thanks in advance. - Lukas"
FB-00107,2026-01-14 15:19:28,nps_survey,ACC-0201,5.0,Tapping an event freezes the Android app.
FB-00112,2026-01-14 16:22:52,support_ticket,ACC-0389,,"Hi team, Tempo is central to how we plan our week. The new per-seat price is too expensive for a small team. Best, Chen"
FB-00115,2026-01-14 16:52:06,nps_survey,ACC-0463,0.0,The scheduler keeps showing GMT instead of my local time.
FB-00108,2026-01-14 17:02:14,app_store,ACC-0108,1.0,the android app is so slow it is unusable on older phones. this is really frustrating.
FB-00106,2026-01-14 18:24:53,support_ticket,ACC-0227,,"Hi Tempo support, We use Tempo every day. Tapping an event freezes the Android app. Best, Omar"
FB-00116,2026-01-14 19:26:37,app_store,ACC-0429,2.0,invites to our new york office arrive with the wrong time.
FB-00123,2026-01-14 19:59:59,app_store,ACC-0133,5.0,The booking links aolne are worth it.
FB-00117,2026-01-14 20:31:11,app_store,ACC-0483,1.0,invites to our new york office arrive with the wrong time.
FB-00110,2026-01-14 20:33:49,app_store,ACC-0543,3.0,Please add a dark mode.
FB-00109,2026-01-14 21:52:00,app_store,ACC-0159,3.0,please add a dark mode.
FB-00125,2026-01-15 07:41:32,community,ACC-0381,,Anyone else seeing this? Scrolling the calendar on Android is laggy and slow.
FB-00135,2026-01-15 08:57:38,app_store,ACC-0420,4.0,Would love a dark theme for late night planning. Would really appreciate it.
FB-00126,2026-01-15 09:30:19,app_store,ACC-0425,2.0,The moblie app takes forever to load. Please fix this asap.
FB-00133,2026-01-15 09:37:52,app_store,ACC-0549,4.0,Add a night mode option to the mobile app. Thanks!
FB-00127,2026-01-15 09:58:53,support_ticket,ACC-0214,,"Performance on my tablet is terrible compared to the web version. Not happy about this. Thanks, Chen"
FB-00146,2026-01-15 11:04:49,sales_call,ACC-0131,,"Call notes (Maple Robotics): the security lead said ""Our whole company switched and nobody looked back."" They mentioned evaluating competitors."
FB-00128,2026-01-15 12:45:22,app_store,ACC-0231,2.0,It keeps crashing on startup after the last mobile update. Hope this gets fixed soon.
FB-00130,2026-01-15 13:40:33,nps_survey,ACC-0252,7.0,Would love a dark theme for late night planning.
FB-00145,2026-01-15 14:45:45,app_store,ACC-0419,4.0,Best scheduling tool we have used.
FB-00141,2026-01-15 16:15:37,support_ticket,ACC-0082,,Our new hires get lost in the onboarding flow. This is really frustrating. - Kate
FB-00140,2026-01-15 16:25:02,app_store,ACC-0357,4.0,We need to exprot meeting data to CSV.
FB-00144,2026-01-15 17:59:09,support_ticket,ACC-0077,,"Hi team, Love how easy it is to find a time that works for everyone. Thank you! Thanks, Priya"
FB-00132,2026-01-15 18:29:14,community,ACC-0363,,"the bright interface is painful at night, we need a dark mode. also, sync keeps creating duplicate events on my calendar. would really appreciate it."
FB-00137,2026-01-15 18:35:56,support_ticket,ACC-0192,,"Hi team, We use Tempo every day. We live in Slack, getting alerts there would help a lot. Best, Maria"
FB-00142,2026-01-15 19:21:00,community,ACC-0313,,feedback: the first-time setup does not explain how anything works. please fix this asap.
FB-00138,2026-01-15 19:41:20,community,ACC-0279,,+1 for this: Please add a Teams integration so reminders show up in our channels. Would really appreciate it.
FB-00131,2026-01-15 20:23:40,support_ticket,ACC-0177,,"Hey there, We use Tempo every day. Would love a dark theme for late night planning. Would really appreciate it."
FB-00136,2026-01-15 20:30:26,app_store,ACC-0449,1.0,my time zone setting resets every time i travel. not happy about this.
FB-00134,2026-01-15 20:38:58,app_store,ACC-0580,3.0,Any plans for a dark theme? every other app has one. Thanks in advance.
FB-00139,2026-01-15 20:46:12,sales_call,ACC-0435,,"Call notes (North Logistics 63): the IT director said ""I would like a reprot of how much time the team spends in meetings."" Renewal is in 8 weeks."
FB-00129,2026-01-15 21:21:04,community,ACC-0068,,the android app takes forever to load. this is really frustrating.
FB-00143,2026-01-15 21:34:05,app_store,ACC-0459,5.0,Our whole company switched and nobody looked back. Five stars.
FB-00148,2026-01-16 07:28:19,community,ACC-0517,,feature request: any plans for a dark theme? every other app has one.
FB-00157,2026-01-16 09:15:10,app_store,ACC-0414,1.0,"No guidance during setup, I did not know where to start. Please fix this asap."
FB-00149,2026-01-16 11:04:59,sales_call,ACC-0406,,"Call notes (Iron Labs 92): the IT director said ""Can you connect Tempo with Teams for meeting links."" Renewal is in 2 weeks."
FB-00160,2026-01-16 12:48:44,community,ACC-0580,,the team availability view is fantastic. five stars.
FB-00151,2026-01-16 13:34:24,support_ticket,ACC-0462,,"Hi team, Tempo is central to how we plan our week. A Slack bot that posts the daily agenda would be amazing. Thanks, Deniz"
FB-00158,2026-01-16 13:38:40,sales_call,ACC-0346,,"Call notes (Iron Analytics 5): the ofifce manager said ""Setting up the workspace was confusing."" They mentioned evaluating competitors."
FB-00153,2026-01-16 14:59:20,support_ticket,ACC-0502,,"Hi team, Please let me mute notifications for specific calendars. Very annoying. Thanks, Deniz"
FB-00147,2026-01-16 16:13:29,nps_survey,ACC-0296,6.0,The sync status is stuck on syncing forever.
FB-00150,2026-01-16 16:48:54,app_store,ACC-0439,3.0,set my slack status automatically when i am in a meeting. would really appreciate it.
FB-00156,2026-01-16 16:51:04,community,ACC-0040,,Feedback: The onboarding never explains the difference between workspaces and teams. Not happy about this.
FB-00154,2026-01-16 17:09:47,support_ticket,ACC-0331,,"Hey there, Our team of 40 people relies on Tempo. Way too many email notifications, I am drowning in reminders. Not happy about this. - Amara"
FB-00152,2026-01-16 17:53:24,support_ticket,ACC-0438,,"Hi Tempo spuport, We use Tempo every day. An integration with Microsoft Teams is the main thing missing for our team. Thanks! Best, Sofia"
FB-00159,2026-01-16 17:54:20,app_store,ACC-0192,5.0,The booking links alone are worth it.
FB-00155,2026-01-16 20:56:53,sales_call,ACC-0059,,"Call notes (Urban Robotics): the IT director said ""Our finance team needs a monthly utilization report."" Expansion to 80 more seats depends on this."
FB-00164,2026-01-17 07:57:04,support_ticket,ACC-0044,,"Hello, Would love a dark theme for late ngiht planning. Thanks in advance. Best, Amara"
FB-00167,2026-01-17 08:38:13,community,ACC-0589,,The scheduler keeps showing GMT instead of my local time. Very annoying.
FB-00170,2026-01-17 09:18:48,community,ACC-0380,,feedback: onboarding is confusing for anyone who is not technical. very annoying.
FB-00162,2026-01-17 10:13:42,support_ticket,ACC-0589,,"Tempo is central to how we plan our week. Scrolling the calendar on Android is laggy and slow. This is really frustrating. Best, Deniz"
FB-00169,2026-01-17 11:36:52,app_store,ACC-0105,4.0,Please add an API endpoint for exporting events.
FB-00166,2026-01-17 15:16:26,support_ticket,ACC-0208,,"Hello, We need SAML single sign-on before we can roll out to more teams. Best, Maria"
FB-00163,2026-01-17 17:02:53,support_ticket,ACC-0574,,"Hi Tempo support, I have been a customer for 18 months. Any plans for a dark theme? every other app has one. Thanks, Lukas"
FB-00161,2026-01-17 17:40:01,support_ticket,ACC-0402,,"Hello, We use Tempo every day. Every event from Google Calendar now shows up twice. Not happy about this. Best, Omar"
FB-00168,2026-01-17 19:33:27,support_ticket,ACC-0328,,"Hey there, Our team of 150 people relies on Tempo. Events shift by an hour after daylight saving time. Best, Jonas"
FB-00171,2026-01-17 20:02:05,app_store,ACC-0327,1.0,The setup wizard skipped steps and left my workspace half configured.
FB-00165,2026-01-17 21:33:48,nps_survey,ACC-0152,5.0,"Dark mode is the only thing missing for me. Also, can you connect Tempo with Slack for meeting links."
FB-00174,2026-01-18 07:50:08,nps_survey,ACC-0231,2.0,The iOS app crashes when I open the week view.
FB-00182,2026-01-18 08:45:18,nps_survey,ACC-0179,2.0,"Notification settings are too coarse, it is all or nothing."
FB-00176,2026-01-18 09:43:48,app_store,ACC-0553,5.0,would love a dark theme for late night planning. would really appreciate it.
FB-00186,2026-01-18 09:47:12,app_store,ACC-0123,4.0,The booking links alone are worth it.
FB-00175,2026-01-18 12:42:34,nps_survey,ACC-0279,7.0,Any plans for a dark theme? every other app has one.
FB-00173,2026-01-18 13:04:49,app_store,ACC-0505,2.0,Performance on my Samsung phone is terrible compared to the web version.
FB-00172,2026-01-18 13:56:24,community,ACC-0531,,Anyone else seeing this? My Office 365 calendar stopped syncing since Tuesday. Not happy about this.
FB-00179,2026-01-18 14:27:47,community,ACC-0499,,Invites to our Berlin office arrive with the wrong time. This is really frustrating.
FB-00183,2026-01-18 15:10:23,app_store,ACC-0478,4.0,A dahsboard showing meeting hours by team would be great.
FB-00181,2026-01-18 15:29:56,nps_survey,ACC-0560,7.0,"We would love to schedule meetings directly from Teams. Also, push notifications arrive late or twice."
FB-00187,2026-01-18 15:42:16,app_store,ACC-0459,4.0,The booking links alone are worth it.
FB-00185,2026-01-18 17:10:50,nps_survey,ACC-0095,5.0,Our new hires get lost in the obnoarding flow.
FB-00180,2026-01-18 17:22:49,nps_survey,ACC-0561,5.0,It is confusing which time zone the booking link uses.
FB-00189,2026-01-18 17:32:04,community,ACC-0456,,Shoutout: Love how easy it is to find a time that works for everyone.
FB-00184,2026-01-18 17:38:59,support_ticket,ACC-0298,,"Hi Tempo support, We use Tempo every day. A dashboard showing meeting hours by team would be great. Would really appreciate it. Best, Maria"
FB-00178,2026-01-18 17:56:57,sales_call,ACC-0101,,"Call notes (Blue Capital 93): their CTO said ""The new per-seat price is too expensive for a small team."" Expansion to 80 more seats depends on this."
FB-00188,2026-01-18 20:53:21,nps_survey,ACC-0170,10.0,Super clean interface and very intuitive.
FB-00177,2026-01-18 21:16:26,community,ACC-0555,,"Idea: The bright interface is painful at night, we need a dark mode. Would really appreciate it."
FB-00217,2026-01-19 07:05:24,nps_survey,ACC-0113,8.0,The booking links alone are worth it.
FB-00212,2026-01-19 08:55:15,support_ticket,ACC-0181,,"Hey there, Our finance team needs a monthly utilization report. Best, Chen"
FB-00203,2026-01-19 09:14:33,nps_survey,ACC-0505,4.0,Paying per seat makes no sense for occasional users.
FB-00197,2026-01-19 09:17:59,app_store,ACC-0013,4.0,"Dark mode please, the white screen hurts my eyes. Would really appreciate it."
FB-00192,2026-01-19 09:24:02,app_store,ACC-0068,3.0,The app freezes every time I switch calendars on my Samsung phone. Plesae fix this asap.
FB-00210,2026-01-19 10:05:27,support_ticket,ACC-0453,,"Hey there, We use Tempo every day. Please let me mute notifications for specific calendars. This is really frustrating. Thanks, Sofia"
FB-00200,2026-01-19 10:09:40,app_store,ACC-0129,5.0,"Dark mode please, the white screen hurts my eyes. Is this on the roadmap?"
FB-00204,2026-01-19 10:42:26,support_ticket,ACC-0233,,Meeting times are wrong when attendees are in different time zones. - Maria
FB-00198,2026-01-19 10:44:02,app_store,ACC-0031,5.0,Please follow the system dark theme on mobile. Thanks in advance.
FB-00199,2026-01-19 11:04:24,app_store,ACC-0284,4.0,please add a dark mode.
FB-00218,2026-01-19 11:11:51,app_store,ACC-0575,5.0,super clean interface and very intuitive. keep up the great work!
FB-00191,2026-01-19 11:13:25,support_ticket,ACC-0530,,"Hey there, I have been a customer for 9 months. Half of my Google events disappeared from Tempo. Very annoying. Thanks, Jonas"
FB-00214,2026-01-19 11:14:46,community,ACC-0220,,The setup wizard skipped steps and left my workspace half configured. Not happy about this.
FB-00215,2026-01-19 11:48:41,app_store,ACC-0568,1.0,Setting up the workspace was confusing. Please fix this asap.
FB-00208,2026-01-19 11:56:48,app_store,ACC-0105,4.0,please add a teams integration so reminders show up in our channels.
FB-00201,2026-01-19 12:26:27,community,ACC-0127,,idea: would love a dark theme for late night planning. would really appreciate it.
FB-00209,2026-01-19 13:48:27,community,ACC-0511,,"+1 for this: A Slack bot that posts the daily agenda would be amazing. Also, two-way sync with Outlook is broken and changes take hours to appear. Would really appreciate it."
FB-00206,2026-01-19 13:59:15,support_ticket,ACC-0575,,"Hi Tempo support, Tempo is central to how we plan our week. We live in Slack, getting alerts there would help a lot. Is this on the roadmap? Thanks, Jonas"
FB-00213,2026-01-19 14:56:49,app_store,ACC-0055,2.0,our new hries get lost in the onboarding flow. this is really frustrating.
FB-00196,2026-01-19 14:57:35,app_store,ACC-0055,4.0,any plans for a dark theme? every other app has one. would really appreciate it.
FB-00202,2026-01-19 15:23:54,community,ACC-0288,,Pricing feedback: The Pro plan now costs more than tools that do much more. This is really frustrating.
FB-00211,2026-01-19 16:17:22,app_store,ACC-0388,3.0,Push notifications arrive late or twice. Not happy about this.
FB-00216,2026-01-19 16:30:58,app_store,ACC-0571,2.0,The new recurring event editor will not let me set custom repeats.
FB-00205,2026-01-19 17:05:11,sales_call,ACC-0406,,"Call notes (Iron Labs 92): the head of RevOps said ""An integration with Microsoft Teams is the main thing missing for our team."" They mentioned evaluating competitors."
FB-00207,2026-01-19 17:08:46,nps_survey,ACC-0147,8.0,Please add a Slack integration so reminders show up in our channels.
FB-00193,2026-01-19 18:19:06,nps_survey,ACC-0030,2.0,The app hangs for ten seconds before showing my schedule.
FB-00190,2026-01-19 18:43:22,nps_survey,ACC-0465,6.0,Sync keeps creating duplicate events on my calendar.
