account_id,company,plan,seats,mrr,region,industry
ACC-0110,Rapid Labs 65,free,2,0.0,APAC,Software
ACC-0111,Lucky Logistics,pro,3,36.0,LATAM,Retail
ACC-0112,Summit Analytics 23,business,11,275.0,LATAM,Finance
ACC-0113,Green Digital 33,free,1,0.0,Europe,Healthcare
ACC-0114,Nova Digital,business,18,450.0,North America,Finance
ACC-0115,Urban Labs,free,1,0.0,North America,Healthcare
ACC-0116,Harbor Capital,pro,2,24.0,APAC,Education
ACC-0117,Silver Digital 50,pro,6,72.0,Europe,Software
ACC-0118,Rapid Robotics 78,free,2,0.0,APAC,Software
ACC-0119,Nova Studio 91,free,2,0.0,Europe,Software
ACC-0120,Silver Foods 37,pro,3,36.0,LATAM,Finance
ACC-0121,Green Partners 92,free,1,0.0,LATAM,Software
ACC-0122,Silver Health,pro,6,72.0,Europe,Finance
ACC-0123,Summit Health,pro,2,24.0,LATAM,Finance
ACC-0124,Maple Capital,free,1,0.0,LATAM,Retail
ACC-0125,Summit Foods,pro,6,72.0,APAC,Education
ACC-0126,Bold Media,free,1,0.0,Europe,Nonprofit
ACC-0127,Green Digital,free,2,0.0,North America,Software
ACC-0128,Harbor Robotics 85,free,1,0.0,APAC,Healthcare
ACC-0129,Green Ventures 17,free,1,0.0,Europe,Education
ACC-0130,Nova Labs,free,1,0.0,LATAM,Retail
ACC-0131,Maple Robotics,business,27,675.0,North America,Healthcare
ACC-0132,Rapid Capital,pro,3,36.0,APAC,Nonprofit
ACC-0133,Bright Media,free,2,0.0,North America,Retail
ACC-0134,Urban Partners,free,1,0.0,LATAM,Finance
ACC-0135,Lucky Analytics,business,12,300.0,LATAM,Healthcare
ACC-0136,North Analytics,free,1,0.0,North America,Healthcare
ACC-0137,Green Works 44,enterprise,232,8816.0,North America,Education
ACC-0138,Rapid Partners,free,1,0.0,APAC,Finance
ACC-0139,Rapid Ventures,free,2,0.0,LATAM,Agency
ACC-0140,Bright Ventures,business,18,450.0,North America,Retail
ACC-0141,Rapid Capital 28,pro,6,72.0,Europe,Nonprofit
ACC-0142,Silver Analytics,pro,4,48.0,LATAM,Nonprofit
ACC-0143,Green Logistics 63,free,1,0.0,Europe,Finance
ACC-0144,Bright Robotics,business,20,500.0,APAC,Healthcare
ACC-0145,Lucky Digital 51,free,2,0.0,Europe,Education
ACC-0146,Bold Partners 44,business,15,375.0,LATAM,Agency
ACC-0147,Urban Ventures,free,1,0.0,LATAM,Software
ACC-0148,Nova Media,free,1,0.0,APAC,Nonprofit
ACC-0149,Summit Media 26,free,1,0.0,North America,Healthcare
ACC-0150,Bright Logistics,business,13,325.0,LATAM,Agency
ACC-0151,Maple Digital 28,free,3,0.0,North America,Software
ACC-0152,North Capital 10,pro,2,24.0,LATAM,Software
ACC-0153,Urban Analytics,pro,5,60.0,APAC,Retail
ACC-0154,Green Systems 45,pro,4,48.0,North America,Education
ACC-0155,Summit Partners,pro,3,36.0,APAC,Agency
ACC-0156,Lucky Media 84,enterprise,95,3610.0,LATAM,Agency
ACC-0157,Urban Works,free,2,0.0,Europe,Finance
ACC-0158,Harbor Ventures 14,free,1,0.0,North America,Finance
ACC-0159,Bold Partners,free,1,0.0,Europe,Agency
ACC-0160,Nova Foods,free,1,0.0,LATAM,Agency
ACC-0161,Rapid Partners 65,free,1,0.0,APAC,Agency
ACC-0162,Green Analytics 5,business,11,275.0,Europe,Healthcare
ACC-0163,Urban Digital 44,business,11,275.0,North America,Nonprofit
ACC-0164,Bright Capital 66,free,1,0.0,Europe,Retail
ACC-0165,North Works,pro,3,36.0,LATAM,Finance
ACC-0166,Iron Logistics,free,2,0.0,LATAM,Education
ACC-0167,Blue Foods,pro,2,24.0,North America,Agency
ACC-0168,Clear Health 2,pro,5,60.0,APAC,Software
ACC-0169,Lucky Logistics 77,free,2,0.0,APAC,Healthcare
ACC-0170,Bright Ventures 89,enterprise,94,3572.0,Europe,Nonprofit
ACC-0171,Silver Foods,free,2,0.0,Europe,Agency
ACC-0172,Silver Partners,pro,2,24.0,LATAM,Retail
ACC-0173,Green Foods,pro,3,36.0,APAC,Nonprofit
ACC-0174,North Capital 88,free,1,0.0,APAC,Software
ACC-0175,Maple Media,free,2,0.0,LATAM,Agency
ACC-0176,North Labs,free,1,0.0,Europe,Education
ACC-0177,Silver Capital,pro,5,60.0,Europe,Finance
ACC-0178,Bright Analytics,pro,4,48.0,North America,Education
ACC-0179,Blue Foods 88,pro,3,36.0,North America,Finance
ACC-0180,Blue Logistics 35,free,1,0.0,Europe,Nonprofit
ACC-0181,Rapid Media 62,business,15,375.0,North America,Nonprofit
ACC-0182,Iron Health,pro,2,24.0,APAC,Education
ACC-0183,Quiet Labs,business,20,500.0,LATAM,Finance
ACC-0184,Rapid Analytics 95,free,2,0.0,North America,Education
ACC-0185,Blue Studio,business,12,300.0,North America,Retail
ACC-0186,North Systems,free,1,0.0,Europe,Agency
ACC-0187,Bright Robotics 81,free,1,0.0,North America,Retail
ACC-0188,Summit Media 34,free,2,0.0,North America,Healthcare
ACC-0189,Harbor Capital 6,free,1,0.0,Europe,Agency
ACC-0190,Summit Analytics,free,1,0.0,APAC,Retail
ACC-0191,North Foods,free,2,0.0,APAC,Software
ACC-0192,Bold Digital 6,pro,4,48.0,LATAM,Retail
ACC-0193,Rapid Ventures 33,free,1,0.0,Europe,Retail
ACC-0194,Harbor Analytics 43,pro,3,36.0,LATAM,Healthcare
ACC-0195,Harbor Digital 98,free,1,0.0,APAC,Healthcare
ACC-0196,Nova Health 50,pro,3,36.0,APAC,Agency
ACC-0197,Lucky Studio,free,1,0.0,LATAM,Healthcare
ACC-0198,Bright Digital,free,1,0.0,Europe,Finance
ACC-0199,Maple Labs 16,business,11,275.0,LATAM,Education
ACC-0200,Blue Foods 30,free,2,0.0,Europe,Healthcare
ACC-0201,North Ventures,pro,4,48.0,APAC,Healthcare
ACC-0202,Summit Analytics 41,pro,3,36.0,Europe,Healthcare
ACC-0203,Bright Systems 76,pro,4,48.0,LATAM,Education
ACC-0204,Summit Health 33,free,2,0.0,Europe,Software
ACC-0205,Harbor Analytics,pro,4,48.0,Europe,Nonprofit
ACC-0206,North Media 47,free,1,0.0,LATAM,Finance
ACC-0207,Bright Capital,pro,3,36.0,LATAM,Healthcare
ACC-0208,Iron Analytics,enterprise,105,3990.0,LATAM,Healthcare
ACC-0209,Iron Health 17,business,18,450.0,Europe,Nonprofit
ACC-0210,Harbor Logistics 39,free,2,0.0,North America,Agency
ACC-0211,Green Systems 46,free,2,0.0,APAC,Healthcare
ACC-0212,Clear Health,free,1,0.0,North America,Finance
ACC-0213,Iron Partners 39,free,1,0.0,North America,Nonprofit
ACC-0214,Quiet Foods,pro,9,108.0,North America,Agency
ACC-0215,Urban Logistics 12,pro,8,96.0,LATAM,Healthcare
ACC-0216,Silver Digital 22,free,1,0.0,LATAM,Education
ACC-0217,Green Digital 26,business,26,650.0,North America,Software
ACC-0218,Urban Analytics 3,pro,4,48.0,North America,Software
ACC-0219,Blue Digital 57,free,2,0.0,North America,Finance
ACC-0220,Urban Digital 73,pro,6,72.0,North America,Finance
ACC-0221,Urban Studio 50,business,46,1150.0,North America,Retail
ACC-0222,Bold Logistics 58,free,1,0.0,North America,Nonprofit
ACC-0223,Maple Media 16,pro,4,48.0,APAC,Healthcare
ACC-0224,Blue Health 83,pro,4,48.0,APAC,Retail
ACC-0225,Green Works,pro,5,60.0,Europe,Finance
ACC-0226,Iron Labs 39,free,1,0.0,North America,Healthcare
ACC-0227,Bold Logistics 73,pro,4,48.0,North America,Education
ACC-0228,Maple Labs,pro,7,84.0,North America,Software
ACC-0229,Maple Studio 93,pro,4,48.0,Europe,Agency
ACC-0230,Urban Logistics 49,pro,2,24.0,North America,Education
ACC-0231,Bright Robotics 62,free,1,0.0,Europe,Finance
ACC-0232,Lucky Labs,pro,3,36.0,LATAM,Healthcare
ACC-0233,Bold Partners 73,business,12,300.0,APAC,Software
ACC-0234,Blue Robotics 92,business,12,300.0,North America,Healthcare
ACC-0235,Rapid Systems 11,free,2,0.0,North America,Software
ACC-0236,Blue Systems,free,1,0.0,LATAM,Education
ACC-0237,Blue Foods 87,pro,6,72.0,LATAM,Finance
ACC-0238,Bright Foods 76,free,2,0.0,LATAM,Agency
ACC-0239,Summit Logistics,pro,5,60.0,North America,Software
ACC-0240,Harbor Labs 36,business,31,775.0,Europe,Healthcare
ACC-0241,Lucky Ventures 18,free,1,0.0,LATAM,Healthcare
ACC-0242,Iron Systems 66,free,1,0.0,APAC,Retail
ACC-0243,Silver Media,free,2,0.0,North America,Education
ACC-0244,Summit Ventures 78,pro,3,36.0,North America,Education
ACC-0245,Clear Partners 39,free,1,0.0,LATAM,Finance
ACC-0246,Urban Foods 88,free,1,0.0,Europe,Education
ACC-0247,Green Robotics 44,free,2,0.0,North America,Finance
ACC-0248,Maple Capital 68,pro,8,96.0,LATAM,Finance
ACC-0249,Green Foods 69,business,11,275.0,North America,Software
ACC-0250,North Studio,free,1,0.0,APAC,Retail
ACC-0251,Lucky Logistics 11,free,2,0.0,Europe,Retail
ACC-0252,Bright Media 44,free,1,0.0,Europe,Nonprofit
ACC-0253,Quiet Labs 43,free,2,0.0,APAC,Finance
ACC-0254,North Partners 77,free,2,0.0,Europe,Retail
ACC-0255,Maple Labs 27,free,1,0.0,Europe,Software
ACC-0256,Nova Digital 36,free,1,0.0,North America,Finance
ACC-0257,Harbor Works,free,1,0.0,LATAM,Nonprofit
ACC-0258,Clear Analytics 8,pro,3,36.0,APAC,Software
ACC-0259,Quiet Media,pro,2,24.0,LATAM,Finance
ACC-0260,Green Robotics 26,free,2,0.0,LATAM,Agency
ACC-0261,Harbor Robotics,free,1,0.0,North America,Healthcare
ACC-0262,Silver Foods 20,pro,3,36.0,Europe,Nonprofit
ACC-0263,Maple Robotics 88,free,1,0.0,APAC,Finance
ACC-0264,Maple Systems,free,1,0.0,Europe,Healthcare
ACC-0265,Lucky Digital 29,free,1,0.0,Europe,Agency
ACC-0266,Lucky Systems,free,1,0.0,LATAM,Agency
ACC-0267,Silver Capital 59,business,10,250.0,APAC,Nonprofit
ACC-0268,North Digital 11,free,1,0.0,Europe,Retail
ACC-0269,Green Studio 45,free,1,0.0,Europe,Healthcare
ACC-0270,Blue Studio 6,business,11,275.0,LATAM,Education
ACC-0271,Clear Capital 55,pro,4,48.0,Europe,Nonprofit
ACC-0272,Urban Foods,free,1,0.0,North America,Agency
ACC-0273,Iron Media 12,free,1,0.0,APAC,Nonprofit
ACC-0274,Urban Logistics,business,17,425.0,LATAM,Education
ACC-0275,Bright Health 74,free,1,0.0,Europe,Finance
ACC-0276,Silver Robotics 32,pro,2,24.0,Europe,Finance
ACC-0277,Bold Studio,free,1,0.0,APAC,Retail
ACC-0278,Summit Labs,pro,3,36.0,APAC,Software
ACC-0279,Lucky Foods 23,pro,6,72.0,APAC,Education
ACC-0280,Silver Media 68,pro,3,36.0,APAC,Finance
ACC-0281,Nova Partners 19,pro,2,24.0,Europe,Software
ACC-0282,Bold Analytics,free,2,0.0,LATAM,Nonprofit
ACC-0283,North Logistics 73,free,2,0.0,APAC,Agency
ACC-0284,Blue Labs 12,free,2,0.0,LATAM,Finance
ACC-0285,Green Capital 4,pro,3,36.0,APAC,Agency
ACC-0286,Bold Health 27,free,1,0.0,LATAM,Software
ACC-0287,Harbor Works 16,free,1,0.0,APAC,Nonprofit
ACC-0288,Iron Foods,free,1,0.0,North America,Education
ACC-0289,Silver Health 85,pro,3,36.0,North America,Finance
ACC-0290,Harbor Robotics 76,business,19,475.0,LATAM,Agency
ACC-0291,Lucky Media 56,free,1,0.0,APAC,Nonprofit
ACC-0292,Nova Works 76,free,2,0.0,LATAM,Retail
ACC-0293,Green Analytics 41,pro,2,24.0,APAC,Agency
ACC-0294,Harbor Systems 82,pro,4,48.0,APAC,Retail
ACC-0295,Harbor Labs,pro,3,36.0,LATAM,Nonprofit
ACC-0296,Green Systems 51,enterprise,134,5092.0,Europe,Nonprofit
ACC-0297,Harbor Works 65,business,15,375.0,Europe,Finance
ACC-0298,Harbor Logistics 48,business,18,450.0,North America,Finance
ACC-0299,Quiet Partners,pro,3,36.0,North America,Agency
ACC-0300,Summit Works 74,free,1,0.0,Europe,Finance
ACC-0301,Blue Capital,pro,3,36.0,Europe,Retail
ACC-0302,Rapid Partners 10,free,2,0.0,LATAM,Software
ACC-0303,Green Analytics 73,pro,4,48.0,North America,Finance
ACC-0304,Bright Works 87,pro,3,36.0,LATAM,Nonprofit
ACC-0305,North Capital 20,pro,4,48.0,LATAM,Nonprofit
ACC-0306,Iron Systems,free,2,0.0,North America,Healthcare
ACC-0307,North Digital,free,1,0.0,North America,Agency
ACC-0308,Urban Digital 55,free,1,0.0,North America,Retail
ACC-0309,Rapid Works,free,1,0.0,APAC,Agency
ACC-0310,North Media 10,business,12,300.0,APAC,Finance
ACC-0311,Iron Labs 55,free,1,0.0,Europe,Finance
ACC-0312,Clear Media 7,free,1,0.0,APAC,Retail
ACC-0313,Iron Capital,free,2,0.0,Europe,Software
ACC-0314,Silver Robotics,pro,3,36.0,North America,Education
ACC-0315,Quiet Partners 21,free,1,0.0,APAC,Agency
ACC-0316,Bright Health 60,business,41,1025.0,APAC,Education
ACC-0317,Bold Studio 83,business,18,450.0,Europe,Finance
ACC-0318,Clear Health 82,free,1,0.0,Europe,Software
ACC-0319,North Logistics 75,free,2,0.0,APAC,Finance
ACC-0320,North Logistics 36,pro,3,36.0,APAC,Education
ACC-0321,Lucky Works 81,enterprise,242,9196.0,North America,Nonprofit
ACC-0322,Clear Analytics,free,2,0.0,North America,Nonprofit
ACC-0323,Rapid Logistics,pro,3,36.0,Europe,Agency
ACC-0324,Lucky Analytics 56,pro,2,24.0,LATAM,Retail
ACC-0325,Green Labs 45,business,19,475.0,APAC,Finance
ACC-0326,Bright Systems 14,free,2,0.0,LATAM,Education
ACC-0327,Harbor Health 70,free,1,0.0,Europe,Healthcare
ACC-0328,Silver Systems 59,enterprise,89,3382.0,LATAM,Software
ACC-0329,Blue Works 21,free,1,0.0,Europe,Education
ACC-0330,Urban Digital 95,free,1,0.0,LATAM,Education
ACC-0331,Silver Capital 62,pro,2,24.0,Europe,Healthcare
ACC-0332,North Ventures 76,free,1,0.0,LATAM,Retail
ACC-0333,Blue Labs,pro,10,120.0,North America,Retail
ACC-0334,Harbor Studio 9,free,1,0.0,APAC,Healthcare
ACC-0335,North Partners 47,business,13,325.0,Europe,Retail
ACC-0336,North Studio 81,free,1,0.0,North America,Finance
ACC-0337,Green Labs 83,pro,2,24.0,North America,Education
ACC-0338,Maple Robotics 89,free,2,0.0,LATAM,Finance
ACC-0339,Bold Logistics 37,free,1,0.0,North America,Nonprofit
ACC-0340,Blue Works 92,free,1,0.0,Europe,Finance
ACC-0341,Bold Works 63,free,2,0.0,Europe,Software
ACC-0342,North Digital 73,free,1,0.0,LATAM,Healthcare
ACC-0343,Iron Partners 76,pro,3,36.0,North America,Nonprofit
ACC-0344,Maple Logistics 6,free,1,0.0,North America,Nonprofit
ACC-0345,Urban Studio 57,free,1,0.0,LATAM,Nonprofit
ACC-0346,Iron Analytics 5,enterprise,117,4446.0,North America,Agency
ACC-0347,Blue Robotics 26,business,28,700.0,APAC,Finance
ACC-0348,Lucky Partners 95,business,17,425.0,APAC,Agency
ACC-0349,Lucky Capital 87,free,1,0.0,Europe,Retail
ACC-0350,Clear Robotics 25,free,1,0.0,Europe,Education
ACC-0351,Harbor Health,free,1,0.0,North America,Education
ACC-0352,Rapid Works 65,free,1,0.0,Europe,Agency
ACC-0353,Green Media 10,free,1,0.0,APAC,Healthcare
ACC-0354,Blue Ventures 92,free,2,0.0,LATAM,Software
ACC-0355,Summit Studio,free,1,0.0,APAC,Healthcare
ACC-0356,Blue Ventures 28,free,1,0.0,APAC,Finance
ACC-0357,Clear Logistics 11,business,18,450.0,APAC,Education
ACC-0358,Bright Analytics 90,free,2,0.0,North America,Retail
ACC-0359,Clear Media 75,free,1,0.0,North America,Retail
ACC-0360,Nova Logistics 36,pro,3,36.0,Europe,Retail
ACC-0361,Summit Logistics 28,free,2,0.0,APAC,Software
ACC-0362,Blue Logistics 7,free,1,0.0,APAC,Software
ACC-0363,Maple Partners,free,2,0.0,North America,Retail
ACC-0364,Nova Logistics 28,free,2,0.0,Europe,Education
ACC-0365,Blue Partners 35,pro,7,84.0,North America,Finance
ACC-0366,Blue Labs 6,free,1,0.0,North America,Nonprofit
ACC-0367,Clear Media 6,free,1,0.0,Europe,Software
ACC-0368,Lucky Studio 26,pro,3,36.0,LATAM,Agency
ACC-0369,Urban Logistics 25,business,14,350.0,APAC,Agency
ACC-0370,North Health 62,free,2,0.0,North America,Agency
ACC-0371,Nova Works 81,free,1,0.0,Europe,Retail
ACC-0372,Clear Logistics,free,2,0.0,Europe,Agency
ACC-0373,Blue Labs 42,enterprise,202,7676.0,North America,Agency
ACC-0374,Bright Labs 66,business,29,725.0,North America,Nonprofit
ACC-0375,Silver Media 36,free,2,0.0,LATAM,Finance
ACC-0376,Lucky Digital,enterprise,92,3496.0,North America,Finance
ACC-0377,Harbor Digital 44,free,1,0.0,Europe,Retail
ACC-0378,Rapid Health 6,free,1,0.0,LATAM,Healthcare
ACC-0379,Maple Foods,free,1,0.0,LATAM,Software
ACC-0380,Bright Media 36,business,35,875.0,Europe,Agency
ACC-0381,Iron Robotics 88,free,1,0.0,APAC,Nonprofit
ACC-0382,Summit Robotics 77,free,1,0.0,Europe,Nonprofit
ACC-0383,Blue Systems 64,pro,3,36.0,APAC,Education
ACC-0384,Maple Capital 21,free,1,0.0,North America,Finance
ACC-0385,Lucky Robotics 80,free,2,0.0,APAC,Retail
ACC-0386,Rapid Ventures 92,free,1,0.0,Europe,Software
ACC-0387,Lucky Media,business,22,550.0,Europe,Finance
ACC-0388,Harbor Systems 73,pro,3,36.0,Europe,Education
ACC-0389,Summit Ventures 39,pro,2,24.0,LATAM,Finance
ACC-0390,Lucky Media 96,pro,3,36.0,LATAM,Education
ACC-0391,Green Works 31,pro,3,36.0,North America,Agency
ACC-0392,Quiet Logistics 18,business,12,300.0,APAC,Education
ACC-0393,Nova Robotics 44,pro,3,36.0,LATAM,Agency
ACC-0394,Bright Health,pro,3,36.0,Europe,Software
ACC-0395,Bright Studio,free,2,0.0,Europe,Software
ACC-0396,Nova Logistics 5,free,1,0.0,APAC,Finance
ACC-0397,Clear Foods 10,pro,3,36.0,APAC,Finance
ACC-0398,North Logistics 71,free,1,0.0,North America,Nonprofit
ACC-0399,Harbor Digital 86,business,11,275.0,LATAM,Software
ACC-0400,Nova Media 98,pro,3,36.0,APAC,Healthcare
ACC-0401,Lucky Labs 16,free,1,0.0,Europe,Retail
ACC-0402,North Partners 2,business,15,375.0,APAC,Healthcare
ACC-0403,Urban Works 68,free,1,0.0,APAC,Nonprofit
ACC-0404,Urban Systems 67,free,1,0.0,APAC,Nonprofit
ACC-0405,Summit Studio 13,free,1,0.0,APAC,Healthcare
ACC-0406,Iron Labs 92,enterprise,317,12046.0,North America,Retail
ACC-0407,Nova Partners,pro,3,36.0,LATAM,Finance
ACC-0408,Silver Digital 61,pro,6,72.0,Europe,Retail
ACC-0409,Iron Robotics 93,free,2,0.0,APAC,Agency
ACC-0410,Quiet Media 38,pro,3,36.0,LATAM,Retail
ACC-0411,Lucky Capital 88,pro,4,48.0,APAC,Retail
ACC-0412,Quiet Ventures 5,pro,7,84.0,LATAM,Nonprofit
ACC-0413,Bold Capital,business,10,250.0,North America,Healthcare
ACC-0414,Clear Media 76,free,1,0.0,APAC,Software
ACC-0415,Lucky Health 85,free,1,0.0,LATAM,Retail
ACC-0416,Maple Capital 25,pro,2,24.0,North America,Education
ACC-0417,North Media 30,business,28,700.0,North America,Finance
ACC-0418,Bright Ventures 93,free,3,0.0,LATAM,Software
ACC-0419,Bold Systems,pro,2,24.0,LATAM,Software
ACC-0420,Iron Works 52,free,2,0.0,North America,Agency
ACC-0421,Bold Studio 8,pro,3,36.0,Europe,Software
ACC-0422,Silver Studio 78,pro,3,36.0,APAC,Agency
ACC-0423,Summit Digital 13,free,2,0.0,Europe,Finance
ACC-0424,Silver Digital 82,pro,2,24.0,APAC,Nonprofit
ACC-0425,Quiet Studio 18,free,2,0.0,APAC,Agency
ACC-0426,Urban Media 94,business,16,400.0,Europe,Finance
ACC-0427,Bold Systems 18,free,1,0.0,LATAM,Software
ACC-0428,Clear Digital,free,1,0.0,North America,Finance
ACC-0429,Quiet Robotics 54,pro,5,60.0,North America,Finance
ACC-0430,Iron Media 64,free,1,0.0,LATAM,Software
ACC-0431,Clear Media 33,pro,2,24.0,Europe,Nonprofit
ACC-0432,Maple Digital 59,free,1,0.0,Europe,Healthcare
ACC-0433,Maple Partners 57,pro,3,36.0,LATAM,Education
ACC-0434,Nova Robotics 17,pro,3,36.0,Europe,Software
ACC-0435,North Logistics 63,business,27,675.0,Europe,Retail
